idx,month,day,old,new,poem,Prov,link
2,01,02,창3:1-4:26,마2:13-3:6,시2:1-12,잠1:7-9,https://www.youtube.com/watch?v=mH7BwbzBKnI
3,01,03,창5:1-7:24,마3:7-4:11,시3:1-8,잠1:10-19,https://www.youtube.com/watch?v=lIJm_0ma1Eg
5,01,05,창11:1-13:4,마5:1-26,시5:1-12,잠1:24-28,https://www.youtube.com/watch?v=jMsb1g8RNeQ
6,01,06,창13:5-15:21,마5:27-48,시6:1-10,잠1:29-33,https://www.youtube.com/watch?v=Munzp-A4SsM
7,01,07,창16:1-18:19,마6:1-24,시7:1-17,잠2:1-5,https://www.youtube.com/watch?v=nv8HxPNlWVs
8,01,08,창18:20-19:38,마6:25-7:14,시8:1-9,잠2:6-15,https://www.youtube.com/watch?v=T4dfT-lLMLs
9,01,09,창20:1-22:24,마7:15-29,시9:1-12,잠2:16-22,https://www.youtube.com/watch?v=-4aKP1NpOj0
10,01,10,창23:1-24:51,마8:1-17,시9:13-20,잠3:1-6,https://www.youtube.com/watch?v=v-qz0aRaaaE
11,01,11,창24:52-26:16,마8:18-34,시10:1-15,잠3:7-8,https://www.youtube.com/watch?v=JkvH90jwqTc
12,01,12,창26:17-27:46,마9:1-17,시10:16-18,잠3:9-10,https://www.youtube.com/watch?v=4jcqiR1lMgc
13,01,13,창28:1-29:35,마9:18-38,시11:1-7,잠3:11-12,https://www.youtube.com/watch?v=l-LqiuI0kFg
14,01,14,창30:1-31:16,마10:1-25,시12:1-8,잠3:13-15,https://www.youtube.com/watch?v=A5L2T5G4pVA
15,01,15,창31:17-32:12,마10:26-11:6,시13:1-6,잠3:16-18,https://www.youtube.com/watch?v=vGD1-pVbBvM
16,01,16,창32:13-34:31,마11:7-30,시14:1-7,잠3:19-20,https://www.youtube.com/watch?v=_2QiebclSlU
17,01,17,창35:1-36:43,마12:1-21,시15:1-5,잠3:21-26,https://www.youtube.com/watch?v=LDmy5BHVZOk
18,01,18,창37:1-38:30,마12:22-45,시16:1-11,잠3:27-32,https://www.youtube.com/watch?v=T1FuDQyytDs
19,01,19,창39:1-41:16,마12:46-13:23,시17:1-15,잠3:33-35,https://www.youtube.com/watch?v=QWkZqvbwn_I
20,01,20,창41:17-42:17,마13:24-46,시18:1-15,잠4:1-6,https://www.youtube.com/watch?v=I798ECkIlOE
21,01,21,창42:18-43:34,마13:47-14:12,시18:16-36,잠4:7-10,https://www.youtube.com/watch?v=TG2xkmPoaWU
22,01,22,창44:1-45:28,마14:13-36,시18:37-50,잠4:11-13,https://www.youtube.com/watch?v=X1dXJDY58do
23,01,23,창46:1-47:31,마15:1-28,시19:1-14,잠4:14-19,https://www.youtube.com/watch?v=tCNA8fweDnk
24,01,24,창48:1-49:33,마15:29-16:12,시20:1-9,잠4:20-27,https://www.youtube.com/watch?v=NYew8jLvYTc
25,01,25,창50:1-출2:10,마16:13-17:9,시21:1-13,잠5:1-6,https://www.youtube.com/watch?v=1xoKHuB-4s8
26,01,26,출2:11-3:22,마17:10-27,시22:1-18,잠5:7-14,https://www.youtube.com/watch?v=KvRRAEp6dzs
